url,redirect_url
http://dbpedia.org/resource/American_Association_for_the_Advancement_of_Science,http://dbpedia.org/page/American_Association_for_the_Advancement_of_Science
http://dbpedia.org/resource/American_Institute_of_Physics'_Science_Writing_Award,http://dbpedia.org/page/American_Institute_of_Physics'_Science_Writing_Award
http://dbpedia.org/resource/American_people,http://dbpedia.org/page/Americans
http://dbpedia.org/resource/American_Physical_Society,http://dbpedia.org/page/American_Physical_Society
http://dbpedia.org/resource/American_University_of_Beirut,http://dbpedia.org/page/American_University_of_Beirut
http://dbpedia.org/resource/Americans,http://dbpedia.org/page/Americans
http://dbpedia.org/resource/Amersfoort,http://dbpedia.org/page/Amersfoort
"http://dbpedia.org/resource/Amherst,_Nova_Scotia","http://dbpedia.org/page/Amherst,_Nova_Scotia"
http://dbpedia.org/resource/Amherst_College,http://dbpedia.org/page/Amherst_College
http://dbpedia.org/resource/Amiens,http://dbpedia.org/page/Amiens
http://dbpedia.org/resource/Amikam_Aharoni,http://dbpedia.org/page/Amikam_Aharoni
http://dbpedia.org/resource/Amir_Caldeira,http://dbpedia.org/page/Amir_Caldeira
"http://dbpedia.org/resource/Amityville,_New_York","http://dbpedia.org/page/Amityville,_New_York"
http://dbpedia.org/resource/Ampère's_circuital_law,http://dbpedia.org/page/Ampère's_circuital_law
http://dbpedia.org/resource/Ampère's_force_law,http://dbpedia.org/page/Ampère's_force_law
http://dbpedia.org/resource/Amsterdam,http://dbpedia.org/page/Amsterdam
http://dbpedia.org/resource/An_Exceptionally_Simple_Theory_of_Everything,http://dbpedia.org/page/An_Exceptionally_Simple_Theory_of_Everything
http://dbpedia.org/resource/Analysis,http://dbpedia.org/page/Analysis
http://dbpedia.org/resource/Analytical_dynamics,http://dbpedia.org/page/Analytical_dynamics
http://dbpedia.org/resource/Analytical_mechanics,http://dbpedia.org/page/Analytical_mechanics
http://dbpedia.org/resource/Anatoly_Dymarsky,http://dbpedia.org/page/Anatoly_Dymarsky
http://dbpedia.org/resource/Anatoly_Vlasov,http://dbpedia.org/page/Anatoly_Vlasov
http://dbpedia.org/resource/Anatomy,http://dbpedia.org/page/Anatomy
http://dbpedia.org/resource/Anaximander,http://dbpedia.org/page/Anaximander
http://dbpedia.org/resource/Anaximenes_of_Miletus,http://dbpedia.org/page/Anaximenes_of_Miletus
"http://dbpedia.org/resource/Andalusia,_Alabama","http://dbpedia.org/page/Andalusia,_Alabama"
http://dbpedia.org/resource/Anders_Johan_Lexell,http://dbpedia.org/page/Anders_Johan_Lexell
http://dbpedia.org/resource/Anderson_Hamiltonian,http://dbpedia.org/page/Anderson_impurity_model
http://dbpedia.org/resource/Anderson_localization,http://dbpedia.org/page/Anderson_localization
http://dbpedia.org/resource/Andre_Geim,http://dbpedia.org/page/Andre_Geim
http://dbpedia.org/resource/André_Petermann,http://dbpedia.org/page/André_Petermann
http://dbpedia.org/resource/Andrea_Prosperetti,http://dbpedia.org/page/Andrea_Prosperetti
http://dbpedia.org/resource/Andreas_Cunaeus,http://dbpedia.org/page/Andreas_Cunaeus
http://dbpedia.org/resource/Andreas_von_Ettingshausen,http://dbpedia.org/page/Andreas_von_Ettingshausen
http://dbpedia.org/resource/Andrei_Sakharov_Prize_(APS),http://dbpedia.org/page/Andrei_Sakharov_Prize_(APS)
http://dbpedia.org/resource/André-Louis_Debierne,http://dbpedia.org/page/André-Louis_Debierne
http://dbpedia.org/resource/André-Marie_Ampère,http://dbpedia.org/page/André-Marie_Ampère
http://dbpedia.org/resource/Andrew_Crumey,http://dbpedia.org/page/Andrew_Crumey
http://dbpedia.org/resource/Andrew_G._Cohen,http://dbpedia.org/page/Andrew_G._Cohen
http://dbpedia.org/resource/Andrew_Gemant_Award,http://dbpedia.org/page/Andrew_Gemant_Award
http://dbpedia.org/resource/Andrew_Hodges,http://dbpedia.org/page/Andrew_Hodges
http://dbpedia.org/resource/Andrew_J._Richards,http://dbpedia.org/page/Andrew_J._Richards
http://dbpedia.org/resource/Andrew_See,http://dbpedia.org/page/Andrew_See
http://dbpedia.org/resource/Andrey_Sakharov,http://dbpedia.org/page/Andrei_Sakharov
http://dbpedia.org/resource/Andrija_Mohorovičić,http://dbpedia.org/page/Andrija_Mohorovičić
http://dbpedia.org/resource/Aneesh_Manohar,http://dbpedia.org/page/Aneesh_Manohar
http://dbpedia.org/resource/Ängelholm,http://dbpedia.org/page/Ängelholm
http://dbpedia.org/resource/Angelo_Anile,http://dbpedia.org/page/Angelo_Anile
http://dbpedia.org/resource/Angelo_Battelli,http://dbpedia.org/page/Angelo_Battelli
http://dbpedia.org/resource/Angoulême,http://dbpedia.org/page/Angoulême
http://dbpedia.org/resource/Angoumois,http://dbpedia.org/page/Angoumois
http://dbpedia.org/resource/Angular_momentum,http://dbpedia.org/page/Angular_momentum
http://dbpedia.org/resource/Anhui,http://dbpedia.org/page/Anhui
http://dbpedia.org/resource/Anil_Shaji,http://dbpedia.org/page/Anil_Shaji
http://dbpedia.org/resource/Ankara,http://dbpedia.org/page/Ankara
http://dbpedia.org/resource/Ankara_University,http://dbpedia.org/page/Ankara_University
"http://dbpedia.org/resource/Ann_Arbor,_Michigan","http://dbpedia.org/page/Ann_Arbor,_Michigan"
http://dbpedia.org/resource/Ann_Druyan,http://dbpedia.org/page/Ann_Druyan
http://dbpedia.org/resource/Ann_Nelson,http://dbpedia.org/page/Ann_Nelson
http://dbpedia.org/resource/Anne-Christine_Davis,http://dbpedia.org/page/Anne-Christine_Davis
http://dbpedia.org/resource/Anomaly_mediated_supersymmetry_breaking,http://dbpedia.org/page/Minimal_Supersymmetric_Standard_Model
http://dbpedia.org/resource/Anthony_Ichiro_Sanda,http://dbpedia.org/page/Anthony_Ichiro_Sanda
http://dbpedia.org/resource/Anthony_J._Devaney,http://dbpedia.org/page/Anthony_J._Devaney
http://dbpedia.org/resource/Anthony_Ludovici,http://dbpedia.org/page/Anthony_Ludovici
http://dbpedia.org/resource/Anthropic_principle,http://dbpedia.org/page/Anthropic_principle
http://dbpedia.org/resource/Antiferromagnetism,http://dbpedia.org/page/Antiferromagnetism
http://dbpedia.org/resource/Anti-nuclear_movement_in_the_United_States,http://dbpedia.org/page/Anti-nuclear_movement_in_the_United_States
http://dbpedia.org/resource/Antiproton,http://dbpedia.org/page/Antiproton
http://dbpedia.org/resource/Antoine_Arnauld,http://dbpedia.org/page/Antoine_Arnauld
http://dbpedia.org/resource/Antonio_Lanza,http://dbpedia.org/page/Antonio_Lanza
http://dbpedia.org/resource/Antony_Hewish,http://dbpedia.org/page/Antony_Hewish
http://dbpedia.org/resource/Antony_Valentini,http://dbpedia.org/page/Antony_Valentini
http://dbpedia.org/resource/Antwerpen,http://dbpedia.org/page/Antwerp
http://dbpedia.org/resource/Apollo_11,http://dbpedia.org/page/Apollo_11
http://dbpedia.org/resource/Apollonius_of_Tyana,http://dbpedia.org/page/Apollonius_of_Tyana
http://dbpedia.org/resource/Apparent_retrograde_motion,http://dbpedia.org/page/Apparent_retrograde_motion
http://dbpedia.org/resource/Appleton_Medal_and_Prize,http://dbpedia.org/page/Appleton_Medal_and_Prize
http://dbpedia.org/resource/Appleton–Hartree_equation,http://dbpedia.org/page/Appleton–Hartree_equation
http://dbpedia.org/resource/Applied_mathematics,http://dbpedia.org/page/Applied_mathematics
http://dbpedia.org/resource/Applied_Mathematics,http://dbpedia.org/page/Applied_mathematics
http://dbpedia.org/resource/Applied_physics,http://dbpedia.org/page/Applied_physics
http://dbpedia.org/resource/Applied_Physics,http://dbpedia.org/page/Applied_physics
http://dbpedia.org/resource/Applied_Radiochemistry,http://dbpedia.org/page/Applied_Radiochemistry
http://dbpedia.org/resource/Aquinas,http://dbpedia.org/page/Thomas_Aquinas
http://dbpedia.org/resource/Arago_spot,http://dbpedia.org/page/Arago_spot
http://dbpedia.org/resource/Arago's_rotations,http://dbpedia.org/page/Arago's_rotations
http://dbpedia.org/resource/Arcetri,http://dbpedia.org/page/Arcetri
http://dbpedia.org/resource/Archaeology,http://dbpedia.org/page/Archaeology
http://dbpedia.org/resource/Archangelgorod_Governorate,http://dbpedia.org/page/Archangelgorod_Governorate
http://dbpedia.org/resource/Archibald_Vivian_Hill,http://dbpedia.org/page/Archibald_Hill
http://dbpedia.org/resource/Archimedes'_principle,http://dbpedia.org/page/Archimedes'_principle
http://dbpedia.org/resource/Archimedes'_screw,http://dbpedia.org/page/Archimedes'_screw
http://dbpedia.org/resource/Archimedes'_use_of_infinitesimals,http://dbpedia.org/page/The_Method_of_Mechanical_Theorems
http://dbpedia.org/resource/Architecture,http://dbpedia.org/page/Architecture
http://dbpedia.org/resource/Arctowski_Medal,http://dbpedia.org/page/Arctowski_Medal
http://dbpedia.org/resource/Ardrossan,http://dbpedia.org/page/Ardrossan
http://dbpedia.org/resource/Arend_Joan_Rutgers,http://dbpedia.org/page/Arend_Joan_Rutgers
http://dbpedia.org/resource/Argentina,http://dbpedia.org/page/Argentina
http://dbpedia.org/resource/Argon,http://dbpedia.org/page/Argon
http://dbpedia.org/resource/Ari_T._Friberg,http://dbpedia.org/page/Ari_T._Friberg
http://dbpedia.org/resource/Arie_Andries_Kruithof,http://dbpedia.org/page/Arie_Andries_Kruithof
http://dbpedia.org/resource/Aristid_von_Grosse,http://dbpedia.org/page/Aristid_von_Grosse
http://dbpedia.org/resource/Aristotle,http://dbpedia.org/page/Aristotle
http://dbpedia.org/resource/Arizona,http://dbpedia.org/page/Arizona
http://dbpedia.org/resource/Arizona_State_University,http://dbpedia.org/page/Arizona_State_University
http://dbpedia.org/resource/Arkhangelsk_Governorate,http://dbpedia.org/page/Arkhangelsk_Governorate
"http://dbpedia.org/resource/Arlington,_Virginia","http://dbpedia.org/page/Arlington_County,_Virginia"
